Comment,Designator,Footprint,LCSC,Quantity
33,"R32,R33,R35,R45,R46,R47,R51,R52,R54,R56,R57,R62,R63,R64,R65,R66,R67,R68,R71,R72,R73,R77,R78",R_0603_1608Metric,C108661,23
100nF / 50V,"C1,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C4,C5,C6",C_0603_1608Metric,C125205,27
82,R79,R_0603_1608Metric,C137676,1
INA219AxD,U11,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
10uF / 25V,"C10,C11,C7,C8",C_0805_2012Metric,C15850,4
680 / 0.25W,R4,R_1210_3225Metric,C163351,1
5520259-4,"J4,J5",TE_5520259-4,C18221687,2
6A,F1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C183157,1
IRF7416PbF,Q1,SOIC-8_3.9x4.9mm_P1.27mm,C22366865,1
3k3,R75,R_0603_1608Metric,C22978,1
100m,R8,R_Shunt_Vishay_WSK2512_6332Metric_T1.19mm,C23067426,1
1k8,R74,R_0603_1608Metric,C2906979,1
110,R80,R_0603_1608Metric,C2906985,1
150,"R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94",R_0603_1608Metric,C2907103,14
10k,"R96,R97",R_1210_3225Metric,C2974059,2
3000 / 0.25W,"R3,R5",R_1210_3225Metric,C3000631,2
SMBJ6.8CA,D1,D_SMB,C3001972,1
240 / >0.6W,R31,D_2512_6332Metric,C3013320,1
15k / 0.5%,R12,R_0603_1608Metric,C326733,1
E18P100KC,"Q10,Q5,Q6",TO-252-2,C3281502,3
100k / 0.5%,"R27,R29,R58,R60,R7",R_0603_1608Metric,C335088,5
XL-DB3161SRBC,"U14,U15",HDSP-A151,C42163207,2
ADS1115IDGS,"U4,U5,U6,U7",TSSOP-10_3x3mm_P0.5mm,C468683,4
MCP23017_SO,"U2,U3",SOIC-28W_7.5x17.9mm_P1.27mm,C47023,2
G6K-2F-Y-TR DC5,"K1,K10,K2,K3,K4,K5,K6,K7,K8,K9",Relay_DPDT_Omron_G6K-2F-Y,C47190,10
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,C492403,1
AO3416,"Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q3,Q4,Q8",SOT-23,C5148471,13
B0524S-2WR3,"U10,U9",B_S-2WR2_MNS,C5369477,2
1R / 2W,"R34,R36,R37,R38,R39,R40,R41,R42",D_2512_6332Metric,C5713424,8
10uF / 100V,"C12,C9",C_1210_3225Metric,C576517,2
Conn_02x14_Odd_Even,J2,PinHeader_2x14_P2.54mm_Vertical,C692427,1
22k / 0.5%,"R28,R30,R59,R61",R_0603_1608Metric,C705830,4
TS-1088-AR02016,S1,SW_TS-1088-AR02016,C720477,1
75k / 0.5%,"R16,R18,R20",R_0603_1608Metric,C723587,3
BSS123,"Q7,Q9",SOT-23,C7420338,2
B0512S-2WR3,U8,B_S-2WR2_MNS,C7465196,1
RED,D4,LED_D5.0mm,C7470717,1
GREEN,D3,LED_D5.0mm,C7470788,1
RASPBERRY_PI_4B_4GB,U1,MODULE_RASPBERRY_PI_4B_4GB,C7499354,1
ULN2003ADR,"U12,U16,U17",SOIC-16_3.9x9.9mm_P1.27mm,C7512,3
VEML6040,U13,VISHAY_VEML6040_1.25X2X1,C78465,1
2k2,"R1,R10,R111,R13,R15,R17,R19,R2,R21,R24,R26,R43,R44,R48,R53,R55,R69,R70,R76,R9",R_0603_1608Metric,C861295,20
Conn_01x02_Socket,J1,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",C90074,1
10k,"R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R11,R110,R14,R22,R23,R25,R49,R50,R6,R95,R98,R99",R_0603_1608Metric,C95204,22
WS2812B2020,D2,LED_WS2812B2020,C965555,1
